"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.0498,673.31,-0.57762,89992,1.9436,298.65,7.3,0.7091,0
1.0472,674.28,-0.59986,89694,1.9472,298.39,7.4,0.7091,0
1.0447,675.23,-0.62084,89406,1.9508,298.14,7.5,0.7091,0
1.0423,676.16,-0.64092,89131,1.9542,297.9,7.6,0.7091,0
1.0401,677.06,-0.6603,88871,1.9576,297.68,7.7,0.7091,0
1.038,677.91,-0.67892,88632,1.9607,297.47,7.8,0.7091,0
1.0361,678.71,-0.69651,88417,1.9636,297.29,7.9,0.7091,0
1.0345,679.43,-0.71251,88233,1.9662,297.13,8,0.7091,0
1.0332,680.06,-0.72617,88085,1.9685,297.01,8.1,0.7091,0
1.0322,680.59,-0.73651,87980,1.9702,296.93,8.2,0.7091,0
1.0317,680.98,-0.74243,87923,1.9715,296.89,8.3,0.7091,0
1.0316,681.23,-0.74279,87921,1.9722,296.91,8.4,0.7091,0
1.0321,681.32,-0.73646,87980,1.9722,296.98,8.5,0.7091,0
1.033,681.24,-0.72251,88102,1.9715,297.12,8.6,0.7091,0
1.0346,680.97,-0.70028,88292,1.9701,297.32,8.7,0.7091,0
1.0367,680.51,-0.66953,88549,1.9679,297.57,8.8,0.7091,0
1.0394,679.87,-0.63055,88872,1.965,297.89,8.9,0.7091,0
1.0426,679.05,-0.58419,89258,1.9614,298.27,9,0.7091,0
1.0462,678.09,-0.53188,89699,1.9572,298.69,9.1,0.7091,0
1.0503,676.99,-0.47555,90188,1.9525,299.15,9.2,0.7091,0
1.0547,675.78,-0.41745,90712,1.9475,299.64,9.3,0.7091,0
1.0593,674.51,-0.36001,91262,1.9422,300.15,9.4,0.7091,0
1.064,673.2,-0.30559,91824,1.9367,300.66,9.5,0.7091,0
1.0687,671.89,-0.25631,92389,1.9313,301.17,9.6,0.7091,0
1.0734,670.6,-0.21392,92944,1.926,301.67,9.7,0.7091,0
1.0779,669.35,-0.17986,93484,1.9209,302.14,9.8,0.7091,0
1.0822,668.17,-0.15585,94002,1.9161,302.6,9.9,0.7091,0
1.0844,667.59,-0.14661,94255,1.9137,302.82,10,0.7091,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.1,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.2,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.3,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.4,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.5,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.6,0.3,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.7,0.3,0
1.2041,660,-2.5e-07,1.0132e+05,1.9229,293.15,0.8,0.3,0
1.2041,660,-2.5e-07,1.0133e+05,1.9229,293.15,0.9,0.3,0
1.2041,660,1e-06,1.0133e+05,1.9229,293.15,1,0.3,0
1.2041,660,9.25e-06,1.0133e+05,1.9229,293.15,1.1,0.3,0
1.2041,660,5.575e-05,1.0133e+05,1.9229,293.15,1.2,0.3,0
1.2041,660,0.0002755,1.0133e+05,1.9229,293.15,1.3,0.3,0
1.2041,659.99,0.00123,1.0133e+05,1.9228,293.16,1.4,0.3,0
1.2041,659.98,0.0051448,1.0134e+05,1.9227,293.19,1.5,0.3,0
1.2042,659.94,0.020513,1.0137e+05,1.9223,293.27,1.6,0.3,0
1.2045,659.81,0.078755,1.0148e+05,1.9211,293.51,1.7,0.3,0
1.2053,659.4,0.29356,1.018e+05,1.9176,294.23,1.8,0.3,0
1.2082,658.22,1.076,1.0274e+05,1.9078,296.22,1.9,0.3,0
1.2238,654.12,4.6518,1.0572e+05,1.8814,300.89,2,0.3,0
1.2716,643.69,14.96,1.13e+05,1.827,309.32,2.1,0.32478,0
1.3675,624.63,34.259,1.2634e+05,1.7428,321.29,2.2,0.34957,0
1.5104,597.92,60.199,1.4568e+05,1.6398,335.2,2.3,0.37436,0
1.6755,568.41,86.615,1.681e+05,1.538,348.78,2.4,0.39914,0
1.8267,542.18,107.86,1.8897e+05,1.4549,359.94,2.5,0.42393,0
