"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.195,45.418,-29.471,1.0114e+05,0.15746,294.85,-0.63153,-0.86922,0
1.1983,39.047,-30.736,1.0155e+05,0.14443,295.21,-0.71892,-0.79845,0
1.2015,32.55,-30.654,1.0194e+05,0.12987,295.57,-0.79845,-0.71892,0
1.2045,26.214,-29.234,1.0231e+05,0.11398,295.91,-0.86922,-0.63153,0
1.2073,20.316,-26.546,1.0265e+05,0.09697,296.22,-0.93047,-0.53721,0
1.2096,15.109,-22.716,1.0295e+05,0.079093,296.49,-0.98153,-0.437,0
1.2115,10.812,-17.918,1.0318e+05,0.06064,296.71,-1.0218,-0.33201,0
1.2129,7.604,-12.366,1.0336e+05,0.042089,296.87,-1.0509,-0.22338,0
1.2136,5.6127,-6.3073,1.0346e+05,0.024952,296.97,-1.0685,-0.11231,0
1.2139,4.9339,-0.00013798,1.0349e+05,0.017037,297,-1.0744,-0,0
1.2136,5.6127,6.3071,1.0346e+05,0.024951,296.97,-1.0685,0.11231,0
